failure_id,episode_index,game_id,task_type,task,termination_reason,env_steps,agent_turns,invalid_actions,parse_failures,repeated_actions,primary_label,secondary_label,evidence,recommended_fix,confidence
11,68,pick_clean_then_place_in_recep-SoapBar-None-CounterTop-424/trial_T20190907_074106_050405,pick_clean_then_place_in_recep,put a clean soapbar in countertop.,parse_failure_loop,4,14,1,8,0,precondition_error,parse_failure_loop,"The agent found soapbar 3 on the toilet but attempted `clean soapbar 3 with sinkbasin 1` before picking it up.","Require the sequence `take target from source` -> `go to sinkbasin n` -> `clean target with sinkbasin n`.",high
12,70,pick_clean_then_place_in_recep-Spatula-None-Drawer-10/trial_T20190907_080730_211959,pick_clean_then_place_in_recep,put a clean spatula in drawer.,parse_failure_loop,15,25,11,8,9,precondition_error,action_repetition_loop,"The agent found a spatula but did not take it, then repeatedly tried to clean the spatula at the sinkbasin and ended in `ouch`.","Add an inventory gate: if the target is not held, the next action after finding it must be `take target n from receptacle n`.",high
13,90,pick_cool_then_place_in_recep-Potato-None-Microwave-10/trial_T20190907_033306_962974,pick_cool_then_place_in_recep,cool some potato and put it in microwave.,env_done_without_success,50,51,44,0,43,precondition_error,container_closed,"The agent successfully took and cooled the potato, but repeatedly tried to move it into a closed microwave.","Open the microwave before the final placement action, and break repetition after the first `Nothing happens`.",high
14,91,pick_cool_then_place_in_recep-Tomato-None-Microwave-10/trial_T20190909_102608_318800,pick_cool_then_place_in_recep,put a cool tomato in microwave.,thought_loop,9,37,1,0,0,search_failure,unachievability_hallucination,"After checking only a subset of likely locations, the agent concluded that no tomato existed and repeated an impossible-task thought.","Keep a visited-location checklist and require exhausting all visible candidate receptacles before declaring the target unavailable.",medium
15,99,pick_heat_then_place_in_recep-Apple-None-GarbageCan-10/trial_T20190908_145356_918528,pick_heat_then_place_in_recep,heat some apple and put it in garbagecan.,thought_loop,44,74,18,0,15,planning_error,unachievability_hallucination,"The agent spent many steps searching and later claimed there was no apple available, despite the task being solvable; the heat-and-place sequence was not completed.","Use a fixed subgoal order for heat tasks: find target, take target, go to microwave, heat target, go to destination, place target.",medium
16,104,pick_heat_then_place_in_recep-Egg-None-GarbageCan-10/trial_T20190908_113523_123938,pick_heat_then_place_in_recep,heat some egg and put it in garbagecan.,parse_failure_loop,23,36,1,8,0,state_tracking_error,parse_failure_loop,"The agent later observed eggs in the garbagecan but did not use that observation to recover and instead ended with repeated `ouch` parse failures.","When a target appears in an observation, update the plan immediately to take that specific object and continue the task sequence.",medium
17,106,pick_heat_then_place_in_recep-Mug-None-Cabinet-10/trial_T20190909_021100_341887,pick_heat_then_place_in_recep,put a hot mug in cabinet.,thought_loop,35,64,33,0,31,precondition_error,unachievability_hallucination,"The agent saw mug 3 on countertop 1 but tried to heat it without taking it or going to the microwave, then concluded the microwave was not functioning.","For heat actions, require both conditions: the target is held and the agent is at the microwave location.",high
18,124,pick_two_obj_and_place-PepperShaker-None-Drawer-10/trial_T20190912_221141_608117,pick_two_obj_and_place,find two peppershaker and put them in drawer.,parse_failure_loop,6,20,1,8,0,two_object_tracking_error,state_tracking_error,"After picking up the first peppershaker, the agent attempted to take another one instead of placing the held object first.","For two-object tasks, enforce a two-pass loop: take first -> place first -> take second -> place second.",high
19,132,pick_two_obj_and_place-SoapBar-None-GarbageCan-424/trial_T20190909_064309_357168,pick_two_obj_and_place,put two soapbar in garbagecan.,thought_loop,36,74,0,0,0,object_identity_confusion,premature_completion,"The target was soapbar, but the agent placed soapbottles and repeatedly claimed the soapbar task was completed.","Require exact object-type matching and verify that two objects of the requested type were placed before any completion claim.",high
20,133,pick_two_obj_and_place-ToiletPaper-None-Cabinet-424/trial_T20190906_202926_527010,pick_two_obj_and_place,find two toiletpaper and put them in cabinet.,parse_failure_loop,13,31,1,8,0,two_object_tracking_error,object_counting_error,"The agent placed toiletpaper 1 in the cabinet, then took the same toiletpaper back from the cabinet as if it were a second object.","Track placed object IDs and prohibit reusing the first placed object as the second target instance.",high
