failure_id,episode_index,game_id,task_type,task,termination_reason,env_steps,agent_turns,thought_steps,action_steps,invalid_actions,parse_failures,repeated_actions,primary_label,secondary_label,evidence
19,46,pick_clean_then_place_in_recep-Cloth-None-Cabinet-424/trial_T20190908_022436_073995,pick_clean_then_place_in_recep,clean some cloth and put it in cabinet.,env_done_without_success,50,54,4,50,45,0,44,感知/记忆错误,当前位置/对象混淆; 死循环,离开 handtowelholder 1 后仍从该位置 take handtowel 1，并重复到 50 步。
20,49,pick_clean_then_place_in_recep-Egg-None-Microwave-10/trial_T20190909_120554_888709,pick_clean_then_place_in_recep,clean some egg and put it in microwave.,env_done_without_success,50,51,1,50,44,0,43,规划/前置条件错误,封闭容器未打开; 死循环,egg 已拿取并清洗，但 microwave closed，未 open 就 move egg to microwave，重复到 50 步。
21,51,pick_clean_then_place_in_recep-Egg-None-Microwave-10/trial_T20190909_120712_273910,pick_clean_then_place_in_recep,put a clean egg in microwave.,env_done_without_success,50,51,1,50,44,0,43,规划/前置条件错误,封闭容器未打开; 死循环,clean egg 后到 closed microwave，未 open 就 move，重复到 50 步。
22,61,pick_clean_then_place_in_recep-Plate-None-CounterTop-10/trial_T20190908_213356_017769,pick_clean_then_place_in_recep,put a clean plate in countertop.,env_done_without_success,50,52,2,50,47,0,46,规划/前置条件错误,未到清洗工具位置; 死循环,拿到 plate 后直接 clean plate with sinkbasin，但没有移动到 sinkbasin；前面还反复 go 当前 countertop。
23,62,pick_clean_then_place_in_recep-Plate-None-CounterTop-10/trial_T20190908_213420_728917,pick_clean_then_place_in_recep,put a clean plate in countertop.,parse_failure_loop,28,38,2,28,26,8,26,死循环/错误恢复失败,当前位置重复; parse_failure_loop,到 countertop 2 后反复 go to countertop 2，未执行 take/clean，随后 ouch。
24,63,pick_clean_then_place_in_recep-Plate-None-CounterTop-10/trial_T20190908_213533_897289,pick_clean_then_place_in_recep,clean some plate and put it in countertop.,env_done_without_success,50,55,5,50,40,0,36,规划/前置条件错误,未持有目标/错误清洗工具; 死循环,未找到/拿到 plate，却尝试 clean plate；之后用 countertop 作为清洗工具重复失败。
25,68,pick_clean_then_place_in_recep-SoapBar-None-CounterTop-424/trial_T20190907_074106_050405,pick_clean_then_place_in_recep,put a clean soapbar in countertop.,parse_failure_loop,4,14,2,4,1,8,0,规划/前置条件错误,未先 take; parse_failure_loop,找到 soapbar 后未拿起，直接 clean soapbar with sinkbasin，随后 ouch。
26,70,pick_clean_then_place_in_recep-Spatula-None-Drawer-10/trial_T20190907_080730_211959,pick_clean_then_place_in_recep,put a clean spatula in drawer.,parse_failure_loop,15,25,2,15,11,8,9,规划/前置条件错误,未先 take; parse_failure_loop,找到 spatula 后未拿起，到 sinkbasin 后反复 clean spatula。
27,72,pick_clean_then_place_in_recep-Spatula-None-Drawer-10/trial_T20190907_080825_222432,pick_clean_then_place_in_recep,clean some spatula and put it in drawer.,env_done_without_success,50,52,2,50,47,0,45,规划/前置条件错误,未先 take; 死循环,找到 spatula 后未拿起，反复 clean spatula with sinkbasin 到 50 步。
28,90,pick_cool_then_place_in_recep-Potato-None-Microwave-10/trial_T20190907_033306_962974,pick_cool_then_place_in_recep,cool some potato and put it in microwave.,env_done_without_success,50,51,1,50,44,0,43,规划/前置条件错误,封闭容器未打开; 死循环,potato 已拿取并 cool，但 microwave closed，未 open 就 move potato to microwave。
29,91,pick_cool_then_place_in_recep-Tomato-None-Microwave-10/trial_T20190909_102608_318800,pick_cool_then_place_in_recep,put a cool tomato in microwave.,thought_loop,9,37,28,9,1,0,0,探索/找物错误,搜索不完整; thought_loop,只查了部分位置后判断没有 tomato，进入不可完成 thought。
30,93,pick_cool_then_place_in_recep-Tomato-None-Microwave-10/trial_T20190909_102710_795182,pick_cool_then_place_in_recep,put a cool tomato in microwave.,env_done_without_success,50,51,1,50,45,0,44,规划/前置条件错误,封闭容器未打开; 死循环,tomato 已拿取并 cool，但 microwave closed，未 open 就 move tomato to microwave。
31,99,pick_heat_then_place_in_recep-Apple-None-GarbageCan-10/trial_T20190908_145356_918528,pick_heat_then_place_in_recep,heat some apple and put it in garbagecan.,thought_loop,44,74,30,44,18,0,15,规划/前置条件错误,heat前置条件/顺序错误; thought_loop,先没找到 apple，找到后未正确回到/打开 microwave 加热，就放回 garbagecan。
32,104,pick_heat_then_place_in_recep-Egg-None-GarbageCan-10/trial_T20190908_113523_123938,pick_heat_then_place_in_recep,heat some egg and put it in garbagecan.,parse_failure_loop,23,36,5,23,1,8,0,感知/记忆错误,看到目标后未利用; parse_failure_loop,到 garbagecan 时观察到 egg 1/2，但此前 thought 仍说没找到 egg，随后 ouch。
33,106,pick_heat_then_place_in_recep-Mug-None-Cabinet-10/trial_T20190909_021100_341887,pick_heat_then_place_in_recep,put a hot mug in cabinet.,thought_loop,35,64,29,35,33,0,31,规划/前置条件错误,未先 take/未到工具位置; 死循环,看到 mug 后未拿起且未去 microwave，直接 heat；后续又在未持有状态下 move。
34,120,pick_two_obj_and_place-KeyChain-None-Safe-219/trial_T20190909_011803_423115,pick_two_obj_and_place,put two keychain in safe.,parse_failure_loop,13,24,3,13,1,8,0,探索/找物错误,导航到不存在位置; parse_failure_loop,系统搜索 keychain，遇到不存在 cabinet 2 后错误恢复为 ouch。
35,124,pick_two_obj_and_place-PepperShaker-None-Drawer-10/trial_T20190912_221141_608117,pick_two_obj_and_place,find two peppershaker and put them in drawer.,parse_failure_loop,6,20,6,6,1,8,0,规划/前置条件错误,two-object 单物品容量/流程错误,已持有第一个 peppershaker，又尝试拿第二个；应先放第一个再找/拿第二个。
36,125,pick_two_obj_and_place-Pillow-None-Sofa-219/trial_T20190907_163240_345855,pick_two_obj_and_place,find two pillow and put them in sofa.,parse_failure_loop,3,14,3,3,1,8,0,探索/找物错误,导航位置幻觉; parse_failure_loop,当前房间无 bed，却按常识去 bed 1 找 pillow，失败后 ouch。
37,126,pick_two_obj_and_place-Pillow-None-Sofa-219/trial_T20190907_163327_486300,pick_two_obj_and_place,put two pillow in sofa.,parse_failure_loop,25,42,9,25,3,8,0,探索/找物错误,搜索未找到; parse_failure_loop,长时间搜索 pillow 未果，最后没有下一步动作而进入 ouch。
38,127,pick_two_obj_and_place-Pillow-None-Sofa-219/trial_T20190907_163408_914117,pick_two_obj_and_place,put two pillow in sofa.,parse_failure_loop,15,30,7,15,1,8,0,探索/找物错误,导航到不存在位置; parse_failure_loop,搜索 pillow 时去不存在 shelf 3，失败后 ouch。
39,128,pick_two_obj_and_place-SoapBar-None-Cabinet-424/trial_T20190909_081720_491733,pick_two_obj_and_place,find two soapbar and put them in cabinet.,parse_failure_loop,17,28,3,17,0,8,0,规划/前置条件错误,two-object 流程错误; parse_failure_loop,拿到第一个 soapbar 后没有先放入 cabinet，而是带着它继续找第二个，最后 ouch。
40,129,pick_two_obj_and_place-SoapBar-None-Cabinet-424/trial_T20190909_081746_857594,pick_two_obj_and_place,find two soapbar and put them in cabinet.,parse_failure_loop,18,29,3,18,1,8,0,规划/前置条件错误,two-object 单物品容量/流程错误,已持有 soapbar 1，回到 countertop 试图 take soapbar 2，被环境拒绝。
41,132,pick_two_obj_and_place-SoapBar-None-GarbageCan-424/trial_T20190909_064309_357168,pick_two_obj_and_place,put two soapbar in garbagecan.,thought_loop,36,74,38,36,0,0,0,感知/记忆错误,目标类型混淆; thought_loop,任务是 soapbar，却拿了两个 soapbottle 并自称完成。
42,133,pick_two_obj_and_place-ToiletPaper-None-Cabinet-424/trial_T20190906_202926_527010,pick_two_obj_and_place,find two toiletpaper and put them in cabinet.,parse_failure_loop,13,31,10,13,1,8,0,感知/记忆错误,把同一物体当第二个; parse_failure_loop,已把 toiletpaper 1 放进 cabinet，又从 cabinet 取回同一个当第二个，目标计数错误。
