sample_index,sample_seed,failure_id,episode_index,game_id,task_type,task,termination_reason,env_steps,agent_turns,invalid_actions,parse_failures,repeated_actions,primary_label,secondary_label,evidence,recommended_fix,confidence
11,42,3,2,look_at_obj_in_light-AlarmClock-None-DeskLamp-308/trial_T20190908_222951_616606,look_at_obj_in_light,look at alarmclock under the desklamp.,thought_loop,7,34,5,0,3,action_format_or_task_protocol,task_protocol_error; thought_loop,"The target and lamp were found, but the agent repeated look-at-with-lamp commands and claimed completion while won remained false.",Do not infer completion from a self-authored thought; execute take-target then use-lamp and wait for environment success.,high
12,42,1,0,look_at_obj_in_light-AlarmClock-None-DeskLamp-308/trial_T20190908_222917_366542,look_at_obj_in_light,examine the alarmclock with the desklamp.,thought_loop,21,53,9,0,1,action_format_or_task_protocol,task_protocol_error; unachievability_hallucination,"The agent found the alarmclock and a desklamp, but tried the lamp from an invalid state and then repeatedly concluded that no working lamp was available.","For light-examination tasks, require holding the target object before moving to and using the desklamp.",high
13,42,32,104,pick_heat_then_place_in_recep-Egg-None-GarbageCan-10/trial_T20190908_113523_123938,pick_heat_then_place_in_recep,heat some egg and put it in garbagecan.,parse_failure_loop,23,36,1,8,0,perception_or_memory,state_tracking_error; parse_failure_loop,The agent observed eggs in the garbagecan but did not use that observation to recover and ended in repeated ouch outputs.,Immediately bind a newly observed target ID to the next valid take action and continue the heat sequence.,medium
14,42,35,124,pick_two_obj_and_place-PepperShaker-None-Drawer-10/trial_T20190912_221141_608117,pick_two_obj_and_place,find two peppershaker and put them in drawer.,parse_failure_loop,6,20,1,8,0,planning_or_precondition,two_object_flow; inventory_capacity,"While holding the first peppershaker, the agent attempted to take another instead of placing the first one.","Use two explicit passes: take and place the first unique ID, then take and place a different ID.",high
15,42,42,133,pick_two_obj_and_place-ToiletPaper-None-Cabinet-424/trial_T20190906_202926_527010,pick_two_obj_and_place,find two toiletpaper and put them in cabinet.,parse_failure_loop,13,31,1,8,0,perception_or_memory,object_counting_error; same_object_reuse,"After placing toiletpaper 1 in the cabinet, the agent took that same object back and counted it as the second object.",Track placed object IDs and forbid reusing the first instance as the second target.,high
16,42,17,22,pick_and_place_simple-Pencil-None-Shelf-308/trial_T20190908_122024_052056,pick_and_place_simple,put a pencil in shelf.,parse_failure_loop,15,25,4,8,1,perception_or_memory,inventory_tracking; parse_failure_loop,The agent had already picked up pencil 1 but searched for pencil 2 instead of placing the held target on the shelf.,"After a successful take, update inventory and prioritize delivery of the held requested object.",high
17,42,20,49,pick_clean_then_place_in_recep-Egg-None-Microwave-10/trial_T20190909_120554_888709,pick_clean_then_place_in_recep,clean some egg and put it in microwave.,env_done_without_success,50,51,44,0,43,planning_or_precondition,closed_container; repetition_loop,"The egg was found, taken, and cleaned, but the agent repeatedly moved it to a closed microwave without opening it.",Check whether an openable destination is closed and open it before placement; do not repeat a rejected action.,high
18,42,31,99,pick_heat_then_place_in_recep-Apple-None-GarbageCan-10/trial_T20190908_145356_918528,pick_heat_then_place_in_recep,heat some apple and put it in garbagecan.,thought_loop,44,74,18,0,15,planning_or_precondition,heat_sequence_error; unachievability_hallucination,"The agent searched extensively and later failed to complete the take, heat, and place sequence after locating relevant objects.",Use a stable subgoal order and update it from each verified observation rather than declaring the task impossible.,medium
19,42,39,128,pick_two_obj_and_place-SoapBar-None-Cabinet-424/trial_T20190909_081720_491733,pick_two_obj_and_place,find two soapbar and put them in cabinet.,parse_failure_loop,17,28,0,8,0,planning_or_precondition,two_object_flow; parse_failure_loop,"After taking the first soapbar, the agent continued searching for a second while still holding the first and then lost the action format.",Place the first object before searching for the second and retain the first object's ID in memory.,high
20,42,29,91,pick_cool_then_place_in_recep-Tomato-None-Microwave-10/trial_T20190909_102608_318800,pick_cool_then_place_in_recep,put a cool tomato in microwave.,thought_loop,9,37,1,0,0,exploration_or_search,incomplete_search; unachievability_hallucination,"After checking only a subset of candidate locations, the agent concluded that no tomato existed and repeated that belief.",Maintain a visited-location checklist and exhaust visible candidate receptacles before declaring failure.,medium
